8590, 11245, 
3772, 5308, 
2375, 2864, 
2375, 2863, 
1397, 3771, 
3282, 3352, 
2374, 3283, 
2375, 3283, 
2375, 2934, 
2305, 2374, 
2374, 2864, 
2305, 1816, 
2375, 2934, 
2375, 3841, 
2375, 2794, 
2374, 2794, 
2375, 2864, 
2444, 2444, 
2444, 2933, 
2375, 2374, 
2445, 3283, 
2375, 2864, 
2444, 2863, 
2444, 3283, 
2375, 2933, 
2863, 3422, 
2375, 2444, 
1956, 2374, 
2375, 3842, 
2933, 3841, 
1955, 2794, 
1886, 1956, 
2794, 3352, 
2375, 2933, 
2374, 3213, 
2864, 3352, 
2305, 2794, 
2305, 2374, 
2374, 3283, 
1886, 4261, 
2863, 2374, 
2304, 2794, 
2864, 2794, 
2304, 2864, 
2445, 2375, 
2864, 3353, 
2375, 2864, 
2444, 3353, 
2305, 2863, 
8102, 11524, 
3841, 4749, 
1467, 2445, 
2374, 2794, 
2794, 2864, 
2375, 2864, 
1886, 2793, 
2305, 2864, 
2375, 3352, 
2374, 2864, 
2374, 2864, 
2305, 2863, 
2374, 2864, 
2374, 3422, 
1886, 2933, 
1956, 2933, 
2375, 2374, 
2375, 2374, 
1956, 2933, 
1886, 2374, 
2305, 3283, 
1956, 2933, 
2375, 2933, 
2375, 2864, 
2375, 2794, 
2445, 3353, 
2375, 3422, 
2375, 3353, 
2794, 3771, 
2375, 3352, 
2375, 2864, 
54057, 2864, 
2794, 2794, 
2444, 2863, 
2374, 2934, 
2864, 3352, 
2374, 2864, 
2864, 2445, 
2444, 2794, 
2304, 3702, 
2444, 2863, 
2794, 3353, 
1956, 2864, 
2444, 2864, 
1956, 2445, 
2305, 3353, 
1956, 2864, 
2934, 3842, 
2444, 2374, 
8591, 11035, 
3911, 4330, 
2444, 2933, 
1886, 2374, 
2444, 2445, 
2864, 3353, 
1955, 1886, 
1885, 3771, 
1816, 3353, 
2374, 1816, 
1397, 2445, 
2793, 2933, 
2305, 1955, 
6635, 3911, 
2374, 2933, 
2864, 3352, 
2374, 2445, 
2444, 1955, 
2864, 1955, 
2794, 1886, 
2863, 1955, 
2793, 1816, 
2724, 1956, 
2863, 1886, 
2374, 3353, 
2864, 3771, 
1815, 2864, 
1886, 3352, 
2864, 4680, 
1467, 2863, 
2863, 1886, 
1956, 3353, 
2933, 3283, 
2444, 2864, 
2444, 2375, 
2933, 3771, 
2933, 1885, 
1956, 2724, 
2864, 3283, 
1886, 3771, 
2444, 2305, 
1397, 2305, 
2374, 2863, 
2863, 1467, 
2375, 1886, 
3283, 2933, 
2864, 1885, 
2863, 4750, 
1886, 2933, 
8241, 9009, 
3841, 5168, 
2445, 2933, 
2375, 2445, 
1955, 2794, 
2445, 2863, 
2375, 2863, 
2374, 3282, 
2444, 2933, 
2374, 2864, 
2374, 2444, 
1886, 2934, 
2864, 2444, 
1397, 2375, 
2374, 2864, 
2445, 2793, 
2305, 2374, 
1886, 2305, 
2444, 2374, 
2374, 2794, 
1467, 2863, 
2445, 2374, 
2374, 2794, 
1955, 2864, 
2374, 2794, 
2305, 3282, 
1955, 2445, 
2375, 2933, 
1886, 3841, 
2444, 3283, 
1397, 2864, 
2305, 2864, 
2375, 3282, 
2375, 2374, 
2375, 2374, 
2375, 3422, 
2375, 2304, 
2375, 2374, 
2305, 2794, 
2374, 3841, 
2305, 2374, 
2445, 2864, 
2794, 1816, 
2375, 2864, 
2305, 2863, 
2375, 3212, 
2445, 2794, 
2445, 3841, 
2375, 3353, 
8661, 10406, 
3841, 4889, 
2375, 2863, 
2445, 2864, 
978, 2445, 
2375, 2933, 
2375, 1886, 
2374, 3353, 
2375, 2864, 
2375, 2794, 
1886, 2863, 
2375, 2864, 
2445, 2793, 
1886, 3422, 
1956, 2863, 
2375, 1955, 
2445, 2864, 
1816, 2375, 
1886, 1886, 
2375, 2304, 
2375, 2933, 
1397, 3282, 
2445, 2863, 
2375, 2864, 
2375, 2793, 
2375, 3353, 
2375, 2794, 
2375, 2793, 
2864, 3702, 
2794, 2863, 
2375, 2444, 
2375, 1955, 
2793, 3352, 
2374, 2794, 
1955, 2374, 
2305, 3282, 
1886, 2863, 
2864, 1885, 
2445, 1956, 
2374, 4191, 
2444, 2375, 
2375, 3353, 
2375, 2933, 
2444, 1885, 
2444, 2445, 
2374, 3423, 
2375, 2793, 
2863, 3352, 
2375, 1397, 
